FID,名称,经度,纬度,X,Y,Brand,Ak,Pk
0,西华赵记胡辣汤,113.525242,34.944905,730705.1314,3871395.648,Others,5,4
1,逍遥镇优质胡辣汤,113.780607,34.865051,754287.5427,3863152.459,Xiaoyaozhen,10,7
2,逍遥镇滋补胡辣汤,113.752795,34.875321,751712.1057,3864221.972,Xiaoyaozhen,10,7
3,逍遥镇正宗牛肉胡辣汤,113.621866,34.647582,740397.0119,3838626.74,Xiaoyaozhen,10,7
4,万团结胡辣汤,113.593396,34.609042,737896.0624,3834282.18,Others,5,4
5,牛肉胡辣汤馆,113.593669,34.640701,737830.681,3837796.162,Others,5,4
6,逍遥老杨家胡辣汤,113.546533,34.626822,733546.3757,3836145.659,Xiaoyaozhen,10,7
7,穆彦华逍遥镇胡辣汤,113.546952,34.629144,733578.2985,3836404.31,Xiaoyaozhen,10,7
8,逍遥镇刘记牛肉胡辣汤,113.546926,34.627776,733579.7508,3836252.438,Xiaoyaozhen,10,7
9,逍遥镇优质胡辣汤,113.548195,34.643853,733651.031,3838039.496,Xiaoyaozhen,10,7
10,魏家金汤胡辣汤店,113.729508,34.665394,750215.6455,3840865.801,Others,5,4
11,逍遥镇一品牛肉胡辣汤,113.780954,34.657438,754957.4291,3840111.965,Xiaoyaozhen,10,7
12,张大辉胡辣汤,113.791488,34.708718,755765.5497,3845829.837,Others,5,4
13,逍遥镇胡辣汤,113.810418,34.654038,757669.9844,3839809.661,Xiaoyaozhen,10,7
14,宋氏牛肉胡辣汤,113.811313,34.680708,757669.3884,3842771.844,Others,5,4
15,原生记逍遥镇胡辣汤,113.803721,34.69004,756944.4863,3843788.106,Xiaoyaozhen,10,7
16,正宗逍遥镇胡辣汤,113.803446,34.695336,756902.895,3844375.165,Xiaoyaozhen,10,7
17,逍遥镇老李牛肉胡辣汤,113.830081,34.73185,759230.2967,3848495.987,Xiaoyaozhen,10,7
18,老谷家优质胡辣汤,113.830077,34.733575,759224.538,3848687.423,Others,5,4
19,郑州东服务站逍遥镇胡辣汤,113.833329,34.793464,759334.9264,3855342.548,Xiaoyaozhen,10,7
20,赵卫胡辣汤,113.513558,34.663102,730421.0182,3840095.781,Others,5,4
21,逍遥三堂胡辣汤,113.510214,34.689402,730041.604,3843006.709,Xiaoyaozhen,10,7
22,逍遥镇胡辣汤,113.510693,34.686924,730092.3728,3842732.814,Xiaoyaozhen,10,7
23,北舞渡炖肉胡辣汤,113.581349,34.693207,736551.2827,3843593.967,Beiwudu,8,6
24,逍遥镇优质胡辣汤,113.581227,34.695518,736533.5192,3843850.143,Xiaoyaozhen,10,7
25,牛肉胡辣汤,113.580979,34.693417,736516.7703,3843616.401,Others,5,4
